window_days,outcome_definition,sos_changed_moved_n,sos_changed_denominator,sos_changed_pct,sos_stayed_moved_n,sos_stayed_denominator,sos_stayed_pct,difference_pp,relative_risk,odds_ratio,sample
14,strict_moved_out,1016,1586,64.06052963430012,716,2328,30.756013745704468,33.30451588859565,2.082861913249311,4.009915886518663,all_events
14,strict_moved_out,244,349,69.91404011461319,49,112,43.75,26.164040114613186,1.59803520261973,2.9730001436162574,new_pm_reshuffles
14,strict_moved_out,589,1096,53.74087591240876,539,1974,27.30496453900709,26.435911373401666,1.9681723386102947,3.090718919634582,excluding_elections
14,strict_moved_out,214,317,67.50788643533123,133,387,34.366925064599485,33.140961370731745,1.9643272218400891,3.9508766216142863,technical_economic
14,loose_moved_out,879,1586,55.42244640605296,591,2328,25.386597938144327,30.035848467908632,2.18313799041102,3.6515685999241314,all_events
14,loose_moved_out,218,349,62.46418338108882,42,112,37.5,24.964183381088823,1.6657115568290353,2.7562961306195484,new_pm_reshuffles
14,loose_moved_out,481,1096,43.886861313868614,435,1974,22.036474164133736,21.850387149734875,1.9915554996224516,2.7654115226529354,excluding_elections
14,loose_moved_out,173,317,54.57413249211357,107,387,27.648578811369507,26.925553680744063,1.9738494649016778,3.13296853625171,technical_economic
14,loose_moved_out_including_ambiguous,972,1586,61.28625472887768,631,2328,27.10481099656357,34.1814437323141,2.2610840096486093,4.254065288131182,all_events
14,loose_moved_out_including_ambiguous,234,349,67.0487106017192,42,112,37.5,29.548710601719197,1.7879656160458453,3.3679144385026736,new_pm_reshuffles
14,loose_moved_out_including_ambiguous,550,1096,50.18248175182482,472,1974,23.910840932117527,26.271640819707287,2.098733452925894,3.203168794202646,excluding_elections
14,loose_moved_out_including_ambiguous,210,317,66.24605678233438,121,387,31.266149870801037,34.97990691153335,2.1187788408895374,4.2950138769260215,technical_economic
