event_id,event_name,event_date,event_type,event_selection_note,junior_ministers_pre_event,sos_changed_rows,strict_moved_rows,loose_moved_rows
4c1e87b9-4766-4c0a-9141-d8d83020182c,May government formation complete,2016-07-13,new_pm_reshuffle,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",86,71,65,60
fc1115df-3f7d-40a6-a8ac-ed53322a24ce,2017 general election,2017-06-08,election_formation,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",77,14,40,36
derived-ordinary-026,Derived ordinary reshuffle cluster (2018-01-08),2018-01-08,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 10.,77,23,33,24
derived-ordinary-027,Derived ordinary reshuffle cluster (2018-04-29),2018-04-29,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,81,21,1,0
derived-ordinary-028,Derived ordinary reshuffle cluster (2018-07-08),2018-07-08,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 5.,83,19,6,6
fdaf1c72-5360-48e2-b791-469da8818fe8,Johnson government formation complete,2019-07-24,new_pm_reshuffle,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",81,63,50,47
585123d6-e348-4691-aed7-8144e01bd3b8,2019 general election,2019-12-12,election_formation,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",84,1,9,8
derived-ordinary-029,Derived ordinary reshuffle cluster (2020-01-31),2020-01-31,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 9.,83,35,53,40
derived-ordinary-030,Derived ordinary reshuffle cluster (2020-09-02),2020-09-02,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,93,7,19,3
derived-ordinary-031,Derived ordinary reshuffle cluster (2021-09-10),2021-09-10,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 9.,90,41,49,40
derived-ordinary-032,Derived ordinary reshuffle cluster (2022-07-05),2022-07-05,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 7.,90,34,44,36
18a19f9b-1b9a-451b-9285-4946620b6637,Truss government formation complete,2022-09-06,new_pm_reshuffle,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",80,72,61,59
8eb03a6f-7d40-47d4-96d2-060b74b8957a,Sunak government formation complete,2022-10-25,new_pm_reshuffle,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",80,53,53,45
derived-ordinary-033,Derived ordinary reshuffle cluster (2023-02-07),2023-02-07,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 8.,80,10,15,2
derived-ordinary-034,Derived ordinary reshuffle cluster (2023-11-13),2023-11-13,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,87,20,30,27
24dbdaa3-470e-4a48-a97e-b8e77b894608,2024 general election,2024-07-04,election_formation,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",91,90,91,91
derived-ordinary-035,Derived ordinary reshuffle cluster (2025-09-05),2025-09-05,ordinary_reshuffle_cluster,Selected because at least 3 SoS-level organisations changed within 14 days; observed 10.,84,48,50,42
