event_date,event_name,event_type,sos_changed_juniors,sos_changed_strict_moved,sos_changed_strict_moved_pct,sos_stayed_juniors,sos_stayed_strict_moved,sos_stayed_strict_moved_pct,changed_departments_kept_most_juniors,changed_departments_cleared_most_juniors
2020-01-31,Derived ordinary reshuffle cluster (2020-01-31),ordinary_reshuffle_cluster,35,26,74.28571428571429,48,27,56.25,False,False
2020-09-02,Derived ordinary reshuffle cluster (2020-09-02),ordinary_reshuffle_cluster,7,7,100.0,86,12,13.953488372093023,False,True
2021-09-10,Derived ordinary reshuffle cluster (2021-09-10),ordinary_reshuffle_cluster,41,27,65.85365853658537,49,22,44.89795918367347,False,False
2022-07-05,Derived ordinary reshuffle cluster (2022-07-05),ordinary_reshuffle_cluster,34,16,47.05882352941176,56,28,50.0,True,False
2022-09-06,Truss government formation complete,new_pm_reshuffle,72,57,79.16666666666666,8,4,50.0,False,True
2022-10-25,Sunak government formation complete,new_pm_reshuffle,53,34,64.15094339622641,27,19,70.37037037037037,False,False
2023-02-07,Derived ordinary reshuffle cluster (2023-02-07),ordinary_reshuffle_cluster,10,10,100.0,70,5,7.142857142857142,False,True
2023-11-13,Derived ordinary reshuffle cluster (2023-11-13),ordinary_reshuffle_cluster,20,7,35.0,67,23,34.32835820895522,True,False
2024-07-04,2024 general election,election_formation,90,90,100.0,1,1,100.0,False,True
2025-09-05,Derived ordinary reshuffle cluster (2025-09-05),ordinary_reshuffle_cluster,48,28,58.333333333333336,36,22,61.111111111111114,False,False
