window_days,sos_changed_stayed_n,sos_changed_denominator,sos_changed_stayed_pct,sos_stayed_stayed_n,sos_stayed_denominator,sos_stayed_stayed_pct,difference_pp,relative_risk_of_staying,sample
14,570,1586,35.93947036569987,1612,2328,69.24398625429554,-33.30451588859566,0.5190265943632091,all_events
14,105,349,30.08595988538682,63,112,56.25,-26.16404011461318,0.5348615090735435,new_pm_reshuffles
14,507,1096,46.25912408759124,1435,1974,72.69503546099291,-26.435911373401666,0.6363450240341819,excluding_elections
14,103,317,32.49211356466877,254,387,65.63307493540051,-33.140961370731745,0.4950570058868824,technical_economic
