event_id,event_name,event_date,event_year,event_type,event_source,event_selection_note,window_days,pre_event_date,window_end_date,person_id,person_name,original_appointment_id,original_post_id,original_post_name,original_rank_equivalence,original_cabinet_status,original_organisation_id,original_organisation_name,original_organisation_short_name,sos_changed_in_original_department,sos_change_detail,technical_economic_department_or_brief,strict_moved_out,loose_moved_out,loose_moved_out_including_ambiguous,outcome_code,outcome_label,same_post_group_after,mog_link_types,final_appointment_id,final_post_id,final_post_name,final_rank_equivalence,final_organisation_id,final_organisation_name,final_cabinet_status,stayed_in_original_role,split_outcome_code,split_outcome_label,promoted_split,sideways_split,left_or_no_better_split
derived-ordinary-015,Derived ordinary reshuffle cluster (1999-07-01),1999-07-01,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-06-30,1999-07-15,88a67d71-d562-4b07-af9c-8a53b3f564b4,John Hutton,ba7f41c7-684d-4770-acd8-f720af0eaae9,4212e2c7-57c7-4640-ba8c-9553000add8b,"Parliamentary Under-Secretary of State, DH",PUSS,Non-cabinet,12390fca-213d-4045-b45a-0d33c14f633d,Department of Health,DH,False,head_before=a377fe33-dac4-47f1-856d-a3f53c882dc4; head_after=a377fe33-dac4-47f1-856d-a3f53c882dc4; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,ba7f41c7-684d-4770-acd8-f720af0eaae9,4212e2c7-57c7-4640-ba8c-9553000add8b,"Parliamentary Under-Secretary of State, DH",PUSS,12390fca-213d-4045-b45a-0d33c14f633d,Department of Health,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-015,Derived ordinary reshuffle cluster (1999-07-01),1999-07-01,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-06-30,1999-07-15,98e6429d-3ae7-451e-9ede-375e3bcee551,Jon Owen Jones,03120341-5458-4bcf-8896-f8f22a59815b,3f299b0e-21bb-4104-9f02-45eaf88d05bd,"Parliamentary Under-Secretary of State, Wal",PUSS,Non-cabinet,fedf4ed4-b139-4f18-ae6d-f41d17852134,Welsh Office,Wal,False,head_before=9c03fc9f-ae19-4893-a31a-1938d4862225; head_after=9c03fc9f-ae19-4893-a31a-1938d4862225; compared_org_count=2,False,True,False,True,F,Ambiguous due to department restructure/title rename,True,Name change,40c0de2e-4177-437d-9d96-675fa915e7fc,730060de-7575-4838-a1b4-384c8a1c33f3,"Parliamentary Under-Secretary of State, Wal",PUSS,a53e18fa-3e69-4c6d-8955-8aabb5b3ea38,Office of the Secretary of State for Wales,Non-cabinet,False,sideways_move,Sideways move / ambiguous restructure,False,True,False
derived-ordinary-015,Derived ordinary reshuffle cluster (1999-07-01),1999-07-01,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-06-30,1999-07-15,8bbfb600-60cd-45c8-bc32-971d0d5e7397,Kate Hoey,93fe82a4-11a5-40d9-9403-fb0e442661d2,fbb903fe-d967-4183-8e71-9ec9302ba78c,Minister for Sport,PUSS,Non-cabinet,43f14c03-ebec-4ff4-9800-945f5a8e053c,"Department for Culture, Media and Sport",DCMS,False,head_before=116fd4e5-c175-4f13-a454-7b90248d0286; head_after=116fd4e5-c175-4f13-a454-7b90248d0286; compared_org_count=1,True,False,False,False,A,Stayed in exactly the same role and department,True,,93fe82a4-11a5-40d9-9403-fb0e442661d2,fbb903fe-d967-4183-8e71-9ec9302ba78c,Minister for Sport,PUSS,43f14c03-ebec-4ff4-9800-945f5a8e053c,"Department for Culture, Media and Sport",Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-015,Derived ordinary reshuffle cluster (1999-07-01),1999-07-01,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-06-30,1999-07-15,1cce6921-7219-49f8-a1cb-fdd28517c1a1,Tessa Jowell,aad87462-01dd-4ba8-a07e-fbc6c5cc795c,ec8d6177-87e1-4f55-b355-82be5bc75ba9,Deputy Minister for Women,MoS,Non-cabinet,cf1ad370-166c-4263-9966-94a206be6354,Cabinet Office,CO,False,head_before=2aba6bbd-f066-40cf-abae-9555296cf730;b7defed7-19a4-43a9-b092-3626140d1cc1;e88b2289-ea97-40af-9bcb-0e28f3641c1f; head_after=2aba6bbd-f066-40cf-abae-9555296cf730;b7defed7-19a4-43a9-b092-3626140d1cc1;e88b2289-ea97-40af-9bcb-0e28f3641c1f; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,aad87462-01dd-4ba8-a07e-fbc6c5cc795c,ec8d6177-87e1-4f55-b355-82be5bc75ba9,Deputy Minister for Women,MoS,cf1ad370-166c-4263-9966-94a206be6354,Cabinet Office,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-015,Derived ordinary reshuffle cluster (1999-07-01),1999-07-01,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-06-30,1999-07-15,9964d1fa-30c6-4e7c-a9db-c4ccfaba9313,George Howarth,c13ddad2-4c97-4aa0-ac40-fff000b5ad60,1cadc026-8b72-4c56-a0fe-28394111b49d,"Parliamentary Under-Secretary of State, HO",PUSS,Non-cabinet,143e8528-d7ab-4514-ac5b-e69d8adc9af2,Home Office,HO,False,head_before=2f5299d4-675b-443d-83a4-661b0e37fc2e; head_after=2f5299d4-675b-443d-83a4-661b0e37fc2e; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,c13ddad2-4c97-4aa0-ac40-fff000b5ad60,1cadc026-8b72-4c56-a0fe-28394111b49d,"Parliamentary Under-Secretary of State, HO",PUSS,143e8528-d7ab-4514-ac5b-e69d8adc9af2,Home Office,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-10-09,1999-10-24,0244b94f-d471-4ee1-b18a-8357b05525eb,George Foulkes,b9d8d643-7cbe-44a3-aab6-0cc26f921218,254b89b5-a7ae-4cd0-9f1b-fb635f2e2f40,"Parliamentary Under-Secretary of State, DfID",PUSS,Non-cabinet,74d7b4e7-e541-44ba-b643-4e91df504fd5,Department for International Development,DfID,False,head_before=cb30d727-2875-4741-b5cb-4ffe144f374a; head_after=cb30d727-2875-4741-b5cb-4ffe144f374a; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,b9d8d643-7cbe-44a3-aab6-0cc26f921218,254b89b5-a7ae-4cd0-9f1b-fb635f2e2f40,"Parliamentary Under-Secretary of State, DfID",PUSS,74d7b4e7-e541-44ba-b643-4e91df504fd5,Department for International Development,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-10-09,1999-10-24,1a703e74-8153-44ec-9b08-014ad9cc5d23,Paul Boateng,09477301-5111-45c1-b581-107eacf55eb5,b47586ac-5548-49f2-a623-bf6588f31945,"Minister of State, HO",MoS,Non-cabinet,143e8528-d7ab-4514-ac5b-e69d8adc9af2,Home Office,HO,False,head_before=2f5299d4-675b-443d-83a4-661b0e37fc2e; head_after=2f5299d4-675b-443d-83a4-661b0e37fc2e; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,09477301-5111-45c1-b581-107eacf55eb5,b47586ac-5548-49f2-a623-bf6588f31945,"Minister of State, HO",MoS,143e8528-d7ab-4514-ac5b-e69d8adc9af2,Home Office,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-10-09,1999-10-24,c064e9ee-1505-4129-be08-350b9adda1da,Joyce Quin,6e5fe4b4-7e50-42e3-bc55-1140c05ba8a4,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,Non-cabinet,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",MAFF,False,head_before=b01a4b5c-4d80-40a1-ab25-23298fbba16f; head_after=b01a4b5c-4d80-40a1-ab25-23298fbba16f; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,6e5fe4b4-7e50-42e3-bc55-1140c05ba8a4,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-10-09,1999-10-24,93d20117-376c-4d23-9997-f8bc7206344f,Janet Anderson,2d51e0ca-1c7a-4161-a003-18fe08499071,e0fe2f45-ffc6-442d-b527-34ea08b02c30,"Minister for Tourism, Film and Broadcasting",PUSS,Non-cabinet,43f14c03-ebec-4ff4-9800-945f5a8e053c,"Department for Culture, Media and Sport",DCMS,False,head_before=116fd4e5-c175-4f13-a454-7b90248d0286; head_after=116fd4e5-c175-4f13-a454-7b90248d0286; compared_org_count=1,True,False,False,False,A,Stayed in exactly the same role and department,True,,2d51e0ca-1c7a-4161-a003-18fe08499071,e0fe2f45-ffc6-442d-b527-34ea08b02c30,"Minister for Tourism, Film and Broadcasting",PUSS,43f14c03-ebec-4ff4-9800-945f5a8e053c,"Department for Culture, Media and Sport",Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-10-09,1999-10-24,2a80865e-f304-4c34-a029-fbf3e75fc0a8,Baroness Hayman,89294b0a-c52b-43a8-a401-1c534da541b1,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,Non-cabinet,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",MAFF,False,head_before=b01a4b5c-4d80-40a1-ab25-23298fbba16f; head_after=b01a4b5c-4d80-40a1-ab25-23298fbba16f; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,89294b0a-c52b-43a8-a401-1c534da541b1,7a528313-21ba-40e4-8a88-f07ed8f1cb82,"Minister of State, MAFF",MoS,c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-10-09,1999-10-24,d0df6722-d329-42ef-848e-3ad5d4274eab,Stephen Timms,52d01b19-68ac-4baf-8b82-1e0185cccdb3,4232baeb-b9b6-43d7-b0d7-5d6229c3a18b,Financial Secretary,MoS,Non-cabinet,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,HM Treasury,HMT,False,head_before=c5d000f3-45eb-414f-80d6-32515c61238c; head_after=c5d000f3-45eb-414f-80d6-32515c61238c; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,52d01b19-68ac-4baf-8b82-1e0185cccdb3,4232baeb-b9b6-43d7-b0d7-5d6229c3a18b,Financial Secretary,MoS,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,HM Treasury,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
derived-ordinary-016,Derived ordinary reshuffle cluster (1999-10-10),1999-10-10,1999,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,14,1999-10-09,1999-10-24,5128c916-6f31-4b3f-aaab-d7ee6ae88663,Jeff Rooker,5b645f07-1bf1-4d5f-bf22-210d8c6b1cb4,5afd64d2-dda0-4249-a04c-aeaba39b4715,Minister for Pensions,MoS,Non-cabinet,7f595c78-d15d-40cf-936e-6ba095c82cfa,Department of Social Security,DSS,False,head_before=d3488ff6-353c-4fb4-80d3-2344fa483767; head_after=d3488ff6-353c-4fb4-80d3-2344fa483767; compared_org_count=1,False,False,False,False,A,Stayed in exactly the same role and department,True,,5b645f07-1bf1-4d5f-bf22-210d8c6b1cb4,5afd64d2-dda0-4249-a04c-aeaba39b4715,Minister for Pensions,MoS,7f595c78-d15d-40cf-936e-6ba095c82cfa,Department of Social Security,Non-cabinet,True,stayed_original_role,Stayed in exact original role,False,False,False
