event_id,event_name,event_date,event_type,event_source,event_selection_note,event_year
3299780e-112c-4fac-a710-24bf48a566e5,1979 general election,1979-05-03,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1979
derived-ordinary-001,Derived ordinary reshuffle cluster (1981-01-05),1981-01-05,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 4.,1981
derived-ordinary-002,Derived ordinary reshuffle cluster (1981-09-14),1981-09-14,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 9.,1981
derived-ordinary-003,Derived ordinary reshuffle cluster (1982-04-05),1982-04-05,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1982
74cc5fe5-bff5-4908-ad43-fae6885a4ba7,1983 general election,1983-06-09,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1983
derived-ordinary-004,Derived ordinary reshuffle cluster (1983-10-14),1983-10-14,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1983
derived-ordinary-005,Derived ordinary reshuffle cluster (1985-09-02),1985-09-02,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 6.,1985
derived-ordinary-006,Derived ordinary reshuffle cluster (1986-05-21),1986-05-21,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1986
0c4019b7-f34c-49e8-b3eb-f40f0eb49254,1987 general election,1987-06-11,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1987
derived-ordinary-007,Derived ordinary reshuffle cluster (1988-07-25),1988-07-25,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1988
derived-ordinary-008,Derived ordinary reshuffle cluster (1989-07-24),1989-07-24,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 11.,1989
derived-ordinary-009,Derived ordinary reshuffle cluster (1989-10-26),1989-10-26,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1989
derived-ordinary-010,Derived ordinary reshuffle cluster (1990-11-01),1990-11-01,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 3.,1990
b93f0142-d106-4703-b11f-cd3853d5fb66,Major government formation complete,1990-11-28,new_pm_reshuffle,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1990
17a9d705-0353-483c-93d1-8fcef8de4e35,1992 general election,1992-04-09,election_formation,IfG event table,"Named IfG event; election-adjacent PM-complete duplicates removed. For non-election PM changes, event_date is manually reset from IfG's formation-complete date to the first PM reshuffle/accession date.",1992
derived-ordinary-011,Derived ordinary reshuffle cluster (1993-05-27),1993-05-27,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 6.,1993
derived-ordinary-012,Derived ordinary reshuffle cluster (1994-07-20),1994-07-20,ordinary_reshuffle_cluster,Derived from IfG SoS-level appointment starts/exits,Selected because at least 3 SoS-level organisations changed within 14 days; observed 7.,1994
